,gene,log2FC,pvalue,adj_pvalue,regulation,test_type,mean_tumor,mean_normal,neg_log10_pval,mechanistic_note
PXMP2,PXMP2,0.4171688530939104,0.23425369293239104,0.3610682624116887,Not Significant,paired_ttest,3.4502576844021466,3.0330888313082363,0.4424106840052749,Not Significant
GFRAL,GFRAL,-0.2739065968749248,0.23455438805722334,0.3614947816755979,Not Significant,paired_ttest,0.8999760043609601,1.173882601235885,0.441897967541926,Not Significant
ARL6IP5,ARL6IP5,0.34414562918473734,0.23458915283860254,0.36151140429262724,Not Significant,paired_ttest,4.405274647821812,4.061129018637074,0.441877997834911,Not Significant
TBX1,TBX1,0.35789901821091696,0.23464243303486437,0.36155655360114625,Not Significant,paired_ttest,3.26731966760798,2.909420649397063,0.4418237620044805,Not Significant
ANKRD6,ANKRD6,-0.3063415087126473,0.23470176333518686,0.36161101523160727,Not Significant,paired_ttest,3.2498636560988747,3.556205164811522,0.44175834871259967,Not Significant
PVRL2,PVRL2,0.2987609923391368,0.23476956658848605,0.36167851889311425,Not Significant,paired_ttest,5.731449118505344,5.432688126166207,0.44167728444607096,Not Significant
AGR2,AGR2,-0.6007434546408543,0.2348066365327506,0.36169866684047697,Not Significant,paired_ttest,2.197412521812738,2.798155976453592,0.44165309197073127,Not Significant
VWF,VWF,-0.4508618900409296,0.2349417082706925,0.36186975826409484,Not Significant,paired_ttest,4.656570940204173,5.107432830245102,0.4414477097014531,Not Significant
C1orf145,C1orf145,-0.34937534187675245,0.2350392474053259,0.36198301091865287,Not Significant,paired_ttest,2.019869473585608,2.3692448154623604,0.44131181189065294,Not Significant
SEMA4D,SEMA4D,-0.20064490218160191,0.2352936415384185,0.36233778752126633,Not Significant,paired_ttest,5.534377764947868,5.73502266712947,0.44088637185503105,Not Significant
ACTL6A,ACTL6A,0.3593323867900282,0.23532159169295422,0.3623438174203838,Not Significant,paired_ttest,4.044562499626652,3.685230112836624,0.4408791445378331,Not Significant
TVP23A,TVP23A,-0.2518979212546071,0.2355462757268121,0.36257868622191336,Not Significant,paired_ttest,1.824814650517365,2.076712571771972,0.4405977290002216,Not Significant
CCDC50,CCDC50,0.21825257104491502,0.23551475650217915,0.36257868622191336,Not Significant,paired_ttest,3.9837188574578786,3.7654662864129635,0.4405977290002216,Not Significant
G3BP2,G3BP2,-0.29924597263056896,0.2355266384970251,0.36257868622191336,Not Significant,paired_ttest,5.704237982879795,6.003483955510364,0.4405977290002216,Not Significant
PHLDA3,PHLDA3,0.391649535018578,0.23572774776486122,0.36274022311093423,Not Significant,paired_ttest,4.597430101508275,4.205780566489697,0.4404042842139826,Not Significant
