gene,gene,log2FC,pvalue,adj_pvalue,regulation,mean_tumor,mean_normal,neg_log10_pval,mechanistic_note
ASPA,ASPA,-1.7164585893446302,3.61703004191064e-09,5.041139423305456e-07,Downregulated,6.814768942490107,8.531227531834737,6.297471291069115,Transcriptional Driver
ITSN1,ITSN1,-0.8851250986450641,3.7926107527161745e-09,5.230209839087852e-07,Not Significant,9.403922412668166,10.28904751131323,6.281480886633723,Not Significant
CAT,CAT,-0.9613850979864154,5.902355614096013e-09,7.971831020646583e-07,Not Significant,9.948863206769543,10.910248304755958,6.098441915638701,Not Significant
AKAP12,AKAP12,-1.463029160266485,5.865749437994789e-09,7.971831020646583e-07,Downregulated,9.681415161145617,11.144444321412102,6.098441915638701,Transcriptional Driver
PRELP,PRELP,-0.9073666126918578,6.0912449427458685e-09,8.060747474233699e-07,Not Significant,9.663771266912663,10.571137879604521,6.093624684139899,Not Significant
NDN,NDN,-0.9925300795221634,6.064687807211792e-09,8.060747474233699e-07,Not Significant,10.36485432084004,11.357384400362204,6.093624684139899,Not Significant
CPM,CPM,-0.9859165785305244,6.4072354352510004e-09,8.394119143722336e-07,Not Significant,8.095699413969756,9.08161599250028,6.0760248708293245,Not Significant
TPD52,TPD52,1.1011562978108032,7.221439128269278e-09,9.367136041530279e-07,Upregulated,9.550415331872653,8.44925903406185,6.028393172344204,Transcriptional Driver
ACSL1,ACSL1,-1.4341291502774052,7.803880899586719e-09,1.0023396437792706e-06,Downregulated,9.88228968164488,11.316418831922284,5.998985092415731,Transcriptional Driver
GPX3,GPX3,-1.117362715682253,8.252783895347531e-09,1.0497060370189126e-06,Downregulated,10.683686863040135,11.801049578722388,5.978932305096696,Transcriptional Driver
SEMA3G,SEMA3G,-0.6855576383197057,8.861560863412519e-09,1.1163010468419942e-06,Not Significant,10.26857053706836,10.954128175388066,5.952218667987023,Not Significant
KCNS3,KCNS3,1.236019075814145,9.428113980186854e-09,1.176359250042171e-06,Upregulated,9.881735716499824,8.645716640685679,5.929460028187704,Transcriptional Driver
ANGPT1,ANGPT1,-0.8064533291626965,1.0909936173361389e-08,1.3484063566717694e-06,Not Significant,9.673591943661219,10.480045272823915,5.870179208790516,Not Significant
SVEP1,SVEP1,-1.0089879478144752,1.23780370480978e-08,1.515557601561956e-06,Downregulated,7.915585414674654,8.924573362489129,5.819427552819876,Transcriptional Driver
EHBP1,EHBP1,-1.3637407416346523,1.257953893691512e-08,1.5259679593752314e-06,Downregulated,8.036760897326358,9.40050163896101,5.816454585131217,Transcriptional Driver
PTRF,PTRF,-1.5009269899531237,1.2800930063567754e-08,1.538577841860561e-06,Downregulated,8.74047790864473,10.241404898597853,5.8128805264329015,Transcriptional Driver
PFKFB3,PFKFB3,-1.2688840199549638,1.3199260509215214e-08,1.572031926647532e-06,Downregulated,10.025281668831468,11.294165688786432,5.803538638051033,Transcriptional Driver
SOX4,SOX4,0.8829192114823883,1.4153352596060368e-08,1.6704781293782602e-06,Not Significant,9.41035040265159,8.527431191169201,5.777159205959711,Not Significant
ECHDC3,ECHDC3,-1.7849594807616063,1.4885866508801761e-08,1.7412476529626062e-06,Downregulated,7.139841327892765,8.924800808654371,5.759139455955533,Transcriptional Driver
SORBS1,SORBS1,-1.0767401324196655,1.8849159435345338e-08,2.185334847455392e-06,Downregulated,8.999681530877638,10.076421663297303,5.6604820089176195,Transcriptional Driver
TF,TF,-1.008009416438707,1.9095779402516366e-08,2.1945070697576045e-06,Downregulated,8.773697337552951,9.781706753991658,5.658663015706786,Transcriptional Driver
ZCCHC24,ZCCHC24,-1.0667146447316718,2.341249117457337e-08,2.667191711983354e-06,Downregulated,8.801344339115595,9.868058983847266,5.573945767038223,Transcriptional Driver
TGFBR3,TGFBR3,-1.6298720063216763,2.4191769043194632e-08,2.7322100537490768e-06,Downregulated,9.052530638423386,10.682402644745062,5.563485914918281,Transcriptional Driver
ADM,ADM,-0.9874512993560156,2.517717512890983e-08,2.8191980458448523e-06,Not Significant,10.529584867745758,11.517036167101773,5.549874414303479,Not Significant
SASH1,SASH1,-0.985288757741742,2.590466821386784e-08,2.876076764999005e-06,Not Significant,9.078400483814601,10.063689241556343,5.541199526435696,Not Significant
MYO6,MYO6,0.8495208802124843,2.6904323900335514e-08,2.9619625833470214e-06,Not Significant,8.827576131425383,7.978055251212899,5.5284204319554435,Not Significant
NRN1,NRN1,-1.1440396400208623,2.8480850083855716e-08,3.1093968079049478e-06,Downregulated,9.253065288314522,10.397104928335384,5.507323851618138,Transcriptional Driver
MELK,MELK,1.784456330289398,2.9707465159129074e-08,3.2165082731384296e-06,Upregulated,8.649813392965873,6.865357062676475,5.492615327219078,Transcriptional Driver
CIDEA,CIDEA,-1.1667121131389884,2.9954911305427826e-08,3.216715516495163e-06,Downregulated,8.87685467552665,10.043566788665638,5.49258734602358,Transcriptional Driver
EFEMP1,EFEMP1,-0.9694358126727192,3.453771268808832e-08,3.6730696447883213e-06,Not Significant,10.47704471213023,11.446480524802949,5.434970836952688,Not Significant
ADAMTS5,ADAMTS5,-0.9268359993130879,3.4765333635123413e-08,3.6730696447883213e-06,Not Significant,10.273344366536373,11.20018036584946,5.434970836952688,Not Significant
SYNE3,SYNE3,-0.985384589879132,3.7424439130915377e-08,3.922380616432979e-06,Not Significant,10.068083213006513,11.053467802885645,5.406450265947122,Not Significant
FOXO1,FOXO1,-1.0990603712928184,3.952780219343991e-08,4.109950289970287e-06,Downregulated,8.838108600157803,9.937168971450621,5.386163430903045,Transcriptional Driver
PTGER3,PTGER3,-0.9141891909771367,4.0046156497046216e-08,4.131060600533878e-06,Not Significant,8.673063788521043,9.58725297949818,5.383938434100048,Not Significant
GABARAPL3,GABARAPL3,-1.065499148541189,4.096524579263253e-08,4.1928569150724906e-06,Downregulated,8.372052219072891,9.43755136761408,5.377489958024468,Transcriptional Driver
FAM47E-STBD1,FAM47E-STBD1,-1.4443196821178539,4.422365962836035e-08,4.491272595280224e-06,Downregulated,8.639352831439137,10.08367251355699,5.347630584876449,Transcriptional Driver
MCAM,MCAM,-0.7274259467885589,4.521412529896932e-08,4.556540427244592e-06,Not Significant,10.067939493604802,10.795365440393361,5.341364772158541,Not Significant
MT1X,MT1X,-0.8288644979138962,4.663894193926809e-08,4.664250216384361e-06,Not Significant,10.280719315883088,11.109583813796984,5.3312181596469435,Not Significant
STK26,STK26,0.8360712297508943,5.561047856114515e-08,5.519339997193656e-06,Not Significant,10.262732012433718,9.426660782682823,5.258112852110312,Not Significant
FMO2,FMO2,-0.6232684846491665,6.178522934541861e-08,6.081836978856551e-06,Not Significant,10.772383141418702,11.395651626067869,5.2159652251211694,Not Significant
IGFBP6,IGFBP6,-1.35634456045171,6.220640830217372e-08,6.081836978856551e-06,Downregulated,8.682163647638102,10.038508208089812,5.2159652251211694,Transcriptional Driver
EZH2,EZH2,1.252709005986552,6.57204079061687e-08,6.3778004739164165e-06,Upregulated,8.718970933246803,7.466261927260251,5.195329071551593,Transcriptional Driver
SDC4,SDC4,0.9066629576474696,7.017181077750994e-08,6.75971244850116e-06,Not Significant,10.258506647996999,9.35184369034953,5.170071778124244,Not Significant
SLIT3,SLIT3,-0.5784758570752224,7.193058399209063e-08,6.8785589845283164e-06,Not Significant,8.171238834530177,8.7497146916054,5.162502534237795,Not Significant
CCDC92,CCDC92,-1.3590294148991813,8.079357312715185e-08,7.670120301005917e-06,Downregulated,7.290248856507768,8.64927827140695,5.115197824362191,Transcriptional Driver
ALCAM,ALCAM,1.1320566375212753,8.257959401813177e-08,7.783275260658593e-06,Upregulated,10.149657509880337,9.017600872359061,5.108837610169087,Transcriptional Driver
MME,MME,-0.8745830082754971,9.320704000007424e-08,8.722181650292661e-06,Not Significant,8.377286620127109,9.251869628402606,5.059374872845091,Not Significant
TACC1,TACC1,-0.817055297082339,9.496476110467082e-08,8.82364067540633e-06,Not Significant,9.761930896773384,10.578986193855723,5.054352185956087,Not Significant
GSN,GSN,-0.9401007924773328,9.751374033990996e-08,8.996672621078594e-06,Not Significant,9.798250555158267,10.7383513476356,5.0459180827269785,Not Significant
RNASE4,RNASE4,-1.0868364701671815,9.885240610182151e-08,9.05640120517457e-06,Downregulated,9.271113417622827,10.357949887790008,5.043044346167524,Transcriptional Driver
MIR452,MIR452,-0.8423171164260861,1.0073952001959153e-07,9.165197581782422e-06,Not Significant,8.664823510768105,9.507140627194191,5.037858168153712,Not Significant
PID1,PID1,-1.4988373227591767,1.0528915013004031e-07,9.513056247266607e-06,Downregulated,7.786300699310751,9.285138022069928,5.021679935419201,Transcriptional Driver
A4GNT,A4GNT,-0.9107222252041236,1.0874544642351633e-07,9.758041736948543e-06,Not Significant,7.138767732206967,8.04948995741109,5.01063732866199,Not Significant
FGF2,FGF2,-1.0248041099452143,1.0955827320054558e-07,9.764101613607807e-06,Downregulated,6.976800011172004,8.001604121117218,5.010367709590826,Transcriptional Driver
KCNJ8,KCNJ8,-0.796757072323393,1.1094037742645801e-07,9.820472193675854e-06,Not Significant,8.604048404518776,9.40080547684217,5.007867629710244,Not Significant
MTHFD1,MTHFD1,-0.7057002475268828,1.1900463976664372e-07,1.046362272203221e-05,Not Significant,9.7335448447641,10.439245092290983,4.980317927725219,Not Significant
PCSK5,PCSK5,-1.1367788742586509,1.2060958903335087e-07,1.0534041506172866e-05,Downregulated,7.05208087387415,8.188859748132801,4.977404974770419,Transcriptional Driver
RNASE1,RNASE1,-0.9218611478389995,1.2499638823648042e-07,1.0844885313153179e-05,Not Significant,9.60109210927609,10.52295325711509,4.9647750363771355,Not Significant
TRPS1,TRPS1,0.8230876245103751,1.3533112418260962e-07,1.166429643366032e-05,Not Significant,10.158593177837083,9.335505553326708,4.9331414518289955,Not Significant
TPBG,TPBG,0.8285132242386926,1.47276797629384e-07,1.2610936769559214e-05,Not Significant,10.66274383327952,9.834230609040828,4.899252651829795,Not Significant
SLC16A7,SLC16A7,-0.674339361000527,1.6766895031238005e-07,1.4263837130146047e-05,Not Significant,9.354553051641489,10.028892412642016,4.845763628742031,Not Significant
ECM2,ECM2,-0.9499290641738547,1.7500048465769136e-07,1.479149257742203e-05,Not Significant,10.691120030137915,11.64104909431177,4.829988000078026,Not Significant
ACO1,ACO1,-0.8276307422283562,1.8577381168606856e-07,1.5601427608328105e-05,Not Significant,10.587941745635986,11.415572487864342,4.806835659719147,Not Significant
EDNRB,EDNRB,-0.8056496029612266,1.9626234525580453e-07,1.6377280160485955e-05,Not Significant,8.600611800965291,9.406261403926518,4.785758221584842,Not Significant
NQO2,NQO2,-0.9654521013143533,2.008086017829736e-07,1.6650591721257833e-05,Not Significant,9.295332570756733,10.260784672071086,4.778570328120976,Not Significant
PRKAR2B,PRKAR2B,-1.561940365554527,2.0961455209004239e-07,1.727144809390972e-05,Downregulated,9.455402061799992,11.017342427354519,4.762671248255988,Transcriptional Driver
EMP1,EMP1,-1.0560795894670765,2.129240294255418e-07,1.7434485684400144e-05,Downregulated,9.630984808226083,10.68706439769316,4.7585908597432125,Transcriptional Driver
MGLL,MGLL,-0.7370359190550761,2.1609856556134826e-07,1.758451743738648e-05,Not Significant,11.019410713621177,11.756446632676253,4.754869545297327,Not Significant
CD9,CD9,2.230020290552395,2.3206971881547546e-07,1.8767564112355208e-05,Upregulated,10.160350007323311,7.930329716770916,4.7265920918545685,Transcriptional Driver
AGR2,AGR2,2.5411948964466253,2.3399459821952547e-07,1.8807136388184066e-05,Upregulated,9.260918411294652,6.7197235148480265,4.725677325953371,Transcriptional Driver
SDC1,SDC1,0.8481452919661958,2.4012681431588956e-07,1.9066745168192552e-05,Not Significant,10.061147712546102,9.213002420579906,4.7197234378474775,Not Significant
FZD4,FZD4,-0.6459073545202969,2.4132133775169454e-07,1.9066745168192552e-05,Not Significant,11.884471853117008,12.530379207637305,4.7197234378474775,Not Significant
