gene,gene,log2FC,pvalue,adj_pvalue,regulation,test_type,mean_tumor,mean_normal,neg_log10_pval,mechanistic_note
LOXL2,LOXL2,3.2655497546728,5.88815341709302e-44,1.2052541192024972e-41,Upregulated,welch_ttest,11.114832588922868,7.849282834250068,40.91892137555219,Transcriptional Driver
SLC4A1,SLC4A1,-4.230662830194017,6.010414606624147e-44,1.2152765143637604e-41,Downregulated,welch_ttest,6.376296532739394,10.606959362933411,40.91532489490575,Transcriptional Driver
NAPEPLD,NAPEPLD,-1.5532587312937363,8.023252068032246e-44,1.6027170998551161e-41,Downregulated,welch_ttest,9.647380211053498,11.200638942347235,40.795143129432866,Transcriptional Driver
ENPP6,ENPP6,-5.64971858063507,9.881938824701683e-44,1.9505064965899275e-41,Downregulated,welch_ttest,4.906103417113433,10.555821997748502,40.709852598836704,Transcriptional Driver
ZC3HAV1L,ZC3HAV1L,1.606837097034509,1.0043198347534031e-43,1.9590144541425205e-41,Upregulated,welch_ttest,11.689617962468173,10.082780865433664,40.7079623596504,Transcriptional Driver
PCCB,PCCB,-1.9741867592062619,1.0589978516165474e-43,2.041649346488646e-41,Downregulated,welch_ttest,9.394709961895462,11.368896721101724,40.6900188459719,Transcriptional Driver
TEX264,TEX264,-1.1545106146569601,1.2990521396546545e-43,2.4756648822384104e-41,Downregulated,welch_ttest,9.029678974095564,10.184189588752524,40.60630814383798,Transcriptional Driver
UMOD,UMOD,-8.366239620007422,1.66604210859305e-43,3.138974790962814e-41,Downregulated,welch_ttest,6.887817578625954,15.254057198633376,40.50321217209534,Transcriptional Driver
ADM,ADM,2.6441207707609173,1.7136468409815068e-43,3.192389283536335e-41,Upregulated,welch_ttest,14.008527350696177,11.36440657993526,40.49588415573503,Transcriptional Driver
GGT6,GGT6,-4.4401171984968135,1.86651438355962e-43,3.41901978224007e-41,Downregulated,welch_ttest,5.981866206048982,10.421983404545795,40.466098386394734,Transcriptional Driver
HILPDA,HILPDA,4.663280591667055,1.8765428237867694e-43,3.41901978224007e-41,Upregulated,welch_ttest,13.459524649512181,8.796244057845126,40.466098386394734,Transcriptional Driver
SPHK2,SPHK2,-1.4855892434792253,1.937008736283324e-43,3.490826613867121e-41,Downregulated,welch_ttest,8.23020748024578,9.715796723725004,40.45707172165582,Transcriptional Driver
FH,FH,-1.2850966625741425,3.687868810900723e-43,6.574716654272472e-41,Downregulated,welch_ttest,11.149586581700332,12.434683244274474,40.18212295890475,Transcriptional Driver
ACADSB,ACADSB,-2.3239965406410406,3.754217702539597e-43,6.621801011500694e-41,Downregulated,welch_ttest,9.774708708602708,12.098705249243748,40.17902387415865,Transcriptional Driver
TMEM52B,TMEM52B,-5.568909290659544,4.1342947443512444e-43,7.215432301194067e-41,Downregulated,welch_ttest,6.826410266732271,12.395319557391815,40.1417376437252,Transcriptional Driver
DPEP1,DPEP1,-5.779882326337116,4.245314782137006e-43,7.245145328639579e-41,Downregulated,welch_ttest,6.654724393290229,12.434606719627345,40.13995289869616,Transcriptional Driver
SLC4A9,SLC4A9,-6.43573445150048,4.282414006071645e-43,7.245145328639579e-41,Downregulated,welch_ttest,2.4103213898301656,8.846055841330646,40.13995289869616,Transcriptional Driver
HK2,HK2,4.863610281929711,4.2098506601977986e-43,7.245145328639579e-41,Upregulated,welch_ttest,10.475200669074418,5.611590387144707,40.13995289869616,Transcriptional Driver
P2RX7,P2RX7,2.722511555652657,4.529689814629974e-43,7.586086578440906e-41,Upregulated,welch_ttest,9.592161311700014,6.869649756047357,40.11998220509163,Transcriptional Driver
DDB2,DDB2,2.6610757382060317,5.065856991744679e-43,8.399190892312678e-41,Upregulated,welch_ttest,10.320367124017544,7.659291385811512,40.0757625482153,Transcriptional Driver
